Model,Run,Formula,Formula_Name,Mechanical_Safety,Swelling_Performance,Endothelialization,SMC_inhibition,Anti_inflammation,Thrombogenicity,Total_Score,Winner
gpt-5,9,5,Formula 5,9.0,8.0,7.0,7.0,8.0,8.0,47.0,5.0
gpt-5,9,6,Formula 6,7.0,5.0,7.0,5.0,6.0,6.0,36.0,5.0
gpt-5,9,7,Formula 7,8.0,6.0,7.0,5.0,5.0,5.0,36.0,5.0
gpt-5,9,8,Formula 8,9.0,7.0,7.0,6.0,8.0,8.0,45.0,5.0
gpt-5,9,9,Formula 9,9.0,8.0,5.0,8.0,7.0,8.0,45.0,5.0
gpt-5,9,10,Formula 10,9.0,7.0,4.0,9.0,8.0,9.0,46.0,5.0
gpt-5,10,1,Formula 1 (Gel + GelMA),7.0,6.0,8.0,5.0,6.0,5.0,37.0,5.0
gpt-5,10,2,Formula 2 (PAM + Gel),8.0,5.0,7.0,6.0,5.0,5.0,36.0,5.0
gpt-5,10,3,Formula 3 (Chitosan + GelMA),7.0,6.0,6.0,4.0,4.0,3.0,30.0,5.0
gpt-5,10,4,Formula 4 (GelMA + Silk Fibroin),8.0,6.0,8.0,5.0,6.0,5.0,38.0,5.0
gpt-5,10,5,Formula 5 (GelMA + PEG),8.0,8.0,8.0,7.0,8.0,9.0,48.0,5.0
gpt-5,10,6,Formula 6 (Starch + GelMA),6.0,6.0,7.0,5.0,6.0,5.0,35.0,5.0
gpt-5,10,7,Formula 7 (Chitin + GelMA),7.0,6.0,5.0,3.0,3.0,3.0,27.0,5.0
gpt-5,10,8,Formula 8 (GelMA + Cellulose),9.0,7.0,7.0,7.0,8.0,8.0,46.0,5.0
gpt-5,10,9,Formula 9 (PAM + PVA),9.0,6.0,4.0,8.0,5.0,7.0,39.0,5.0
gpt-5,10,10,Formula 10 (PAM + PEG),8.0,6.0,4.0,8.0,6.0,8.0,40.0,5.0
