Model,Run,Formula,Formula_Name,Mechanical_Safety,Swelling_Performance,Endothelialization,SMC_inhibition,Anti_inflammation,Thrombogenicity,Total_Score,Winner
grok-4,4,3,Formula 3,8.0,8.0,8.0,7.0,7.0,5.0,43.0,4
grok-4,4,4,Formula 4,9.0,8.0,9.0,8.0,9.0,9.0,52.0,4
grok-4,4,5,Formula 5,8.0,9.0,7.0,7.0,9.0,9.0,49.0,4
grok-4,4,6,Formula 6,8.0,9.0,7.0,7.0,8.0,7.0,46.0,4
grok-4,4,7,Formula 7,8.0,7.0,7.0,6.0,6.0,6.0,40.0,4
grok-4,4,8,Formula 8,8.0,7.0,8.0,7.0,8.0,8.0,46.0,4
grok-4,4,9,Formula 9,9.0,8.0,5.0,5.0,6.0,8.0,41.0,4
grok-4,4,10,Formula 10,8.0,9.0,5.0,5.0,8.0,9.0,44.0,4
grok-4,5,1,Formula 1,9.0,8.0,9.0,7.0,8.0,8.0,49.0,4
grok-4,5,2,Formula 2,8.0,9.0,7.0,6.0,7.0,7.0,44.0,4
grok-4,5,3,Formula 3,8.0,7.0,8.0,8.0,6.0,6.0,43.0,4
grok-4,5,4,Formula 4,9.0,8.0,9.0,9.0,9.0,9.0,53.0,4
grok-4,5,5,Formula 5,8.0,9.0,6.0,7.0,9.0,9.0,48.0,4
grok-4,5,6,Formula 6,7.0,9.0,7.0,6.0,7.0,7.0,43.0,4
grok-4,5,7,Formula 7,8.0,8.0,7.0,7.0,6.0,6.0,42.0,4
grok-4,5,8,Formula 8,9.0,7.0,8.0,7.0,8.0,8.0,47.0,4
grok-4,5,9,Formula 9,8.0,9.0,5.0,5.0,8.0,8.0,43.0,4
grok-4,5,10,Formula 10,8.0,9.0,5.0,5.0,9.0,9.0,45.0,4
grok-4,6,1,Formula 1,8.0,8.0,9.0,6.0,8.0,7.0,46.0,5
grok-4,6,2,Formula 2,8.0,9.0,8.0,6.0,7.0,7.0,45.0,5
grok-4,6,3,Formula 3,8.0,8.0,7.0,6.0,5.0,8.0,42.0,5
grok-4,6,4,Formula 4,8.0,7.0,9.0,7.0,9.0,9.0,49.0,5
grok-4,6,5,Formula 5,8.0,9.0,8.0,7.0,9.0,10.0,51.0,5
grok-4,6,6,Formula 6,8.0,8.0,8.0,6.0,7.0,6.0,43.0,5
grok-4,6,7,Formula 7,8.0,7.0,6.0,6.0,5.0,7.0,39.0,5
grok-4,6,8,Formula 8,8.0,7.0,8.0,6.0,8.0,7.0,44.0,5
grok-4,6,9,Formula 9,8.0,9.0,5.0,6.0,7.0,9.0,44.0,5
grok-4,6,10,Formula 10,8.0,9.0,5.0,7.0,8.0,10.0,47.0,5
grok-4,8,1,Formula 1,8.0,7.0,9.0,6.0,9.0,7.0,46.0,5
grok-4,8,2,Formula 2,9.0,9.0,8.0,7.0,8.0,8.0,49.0,5
grok-4,8,3,Formula 3,8.0,8.0,7.0,7.0,5.0,3.0,38.0,5
grok-4,8,4,Formula 4,9.0,7.0,9.0,7.0,9.0,9.0,50.0,5
grok-4,8,5,Formula 5,8.0,9.0,7.0,9.0,9.0,9.0,51.0,5
grok-4,8,6,Formula 6,7.0,6.0,7.0,6.0,6.0,7.0,39.0,5
grok-4,8,7,Formula 7,7.0,7.0,6.0,7.0,5.0,4.0,36.0,5
grok-4,8,8,Formula 8,8.0,8.0,8.0,7.0,8.0,8.0,47.0,5
grok-4,8,9,Formula 9,9.0,9.0,5.0,8.0,8.0,8.0,47.0,5
grok-4,8,10,Formula 10,9.0,9.0,5.0,9.0,8.0,9.0,49.0,5
grok-4,9,1,Formula 1,9.0,9.0,9.0,6.0,9.0,7.0,49.0,4
grok-4,9,2,Formula 2,9.0,8.0,7.0,7.0,6.0,6.0,43.0,4
grok-4,9,3,Formula 3,9.0,8.0,6.0,8.0,5.0,3.0,39.0,4
grok-4,9,4,Formula 4,9.0,9.0,10.0,8.0,9.0,9.0,54.0,4
grok-4,9,5,Formula 5,9.0,9.0,5.0,9.0,9.0,10.0,51.0,4
grok-4,9,6,Formula 6,9.0,8.0,6.0,5.0,5.0,5.0,38.0,4
grok-4,9,7,Formula 7,9.0,8.0,5.0,7.0,4.0,3.0,36.0,4
grok-4,9,8,Formula 8,9.0,7.0,6.0,5.0,7.0,6.0,40.0,4
grok-4,9,9,Formula 9,9.0,5.0,4.0,7.0,6.0,7.0,38.0,4
grok-4,9,10,Formula 10,9.0,5.0,4.0,8.0,8.0,9.0,43.0,4
grok-4,10,1,Formula 1,8.0,9.0,9.0,8.0,9.0,8.0,51.0,4
grok-4,10,2,Formula 2,9.0,8.0,7.0,7.0,6.0,7.0,44.0,4
grok-4,10,3,Formula 3,8.0,7.0,7.0,6.0,5.0,4.0,37.0,4
grok-4,10,4,Formula 4,9.0,8.0,9.0,9.0,9.0,9.0,53.0,4
grok-4,10,5,Formula 5,8.0,9.0,7.0,7.0,8.0,9.0,48.0,4
grok-4,10,6,Formula 6,8.0,8.0,8.0,7.0,7.0,7.0,45.0,4
grok-4,10,7,Formula 7,8.0,7.0,7.0,6.0,5.0,4.0,37.0,4
grok-4,10,8,Formula 8,9.0,7.0,8.0,8.0,8.0,8.0,48.0,4
grok-4,10,9,Formula 9,9.0,9.0,5.0,5.0,5.0,8.0,41.0,4
grok-4,10,10,Formula 10,9.0,9.0,5.0,5.0,6.0,9.0,43.0,4
grok-4,7,1,Formula 1,9.0,8.0,9.0,7.0,9.0,8.0,50.0,4
grok-4,7,2,Formula 2,9.0,8.0,8.0,6.0,7.0,7.0,45.0,4
grok-4,7,3,Formula 3,9.0,8.0,9.0,9.0,8.0,9.0,52.0,4
grok-4,7,4,Formula 4,9.0,8.0,10.0,8.0,9.0,9.0,53.0,4
grok-4,7,5,Formula 5,9.0,8.0,7.0,6.0,9.0,10.0,49.0,4
grok-4,7,6,Formula 6,9.0,8.0,7.0,6.0,8.0,7.0,45.0,4
grok-4,7,7,Formula 7,9.0,8.0,8.0,8.0,7.0,8.0,48.0,4
grok-4,7,8,Formula 8,9.0,8.0,8.0,7.0,8.0,7.0,47.0,4
grok-4,7,9,Formula 9,9.0,8.0,6.0,5.0,6.0,8.0,42.0,4
grok-4,7,10,Formula 10,9.0,8.0,5.0,5.0,7.0,9.0,43.0,4
